pair_id,company_a_global_id,company_b_global_id,current_identity_state_a,current_identity_state_b,source_id,assisted_bucket
FZ-02440-303252-371325,5ca6c16b-a11f-4e02-b2cf-476d0a8298ba,,DETERMINISTIC_SINGLE_SOURCE,,SFDA,ESCALATE
FZ-02441-299407-555263,c0931bd7-68f4-4a85-89da-3b820b02242b,,DETERMINISTIC_SINGLE_SOURCE,,SFDA,ESCALATE
FZ-02445-297998-554700,2233ddb2-dbb6-4214-aeeb-d9254d856c39,,DETERMINISTIC_SINGLE_SOURCE,,SFDA,ESCALATE
FZ-02447-288652-550663,5f5e1960-e65f-42b5-a793-af0ee7a7ec05,,DETERMINISTIC_SINGLE_SOURCE,,SFDA,ESCALATE
FZ-02448-298000-554702,d83f6a50-7d43-4c6e-a6e9-a18111b705f6,,DETERMINISTIC_SINGLE_SOURCE,,SFDA,ESCALATE
FZ-02449-304852-557602,6e90a385-f82d-4477-a61f-99a66d19c2c7,,DETERMINISTIC_SINGLE_SOURCE,,SFDA,ESCALATE
FZ-02451-299734-555417,d8a34315-4204-48db-b227-da95e8dd45db,,DETERMINISTIC_SINGLE_SOURCE,,SFDA,ESCALATE
FZ-02452-299981-555548,8c5e985f-7062-4af9-a521-4e835cb33304,,DETERMINISTIC_SINGLE_SOURCE,,SFDA,ESCALATE
FZ-02453-301559-556192,9275a74f-096f-4386-8317-1551e49da4df,,DETERMINISTIC_SINGLE_SOURCE,,SFDA,ESCALATE
FZ-02454-301490-556163,d325f50f-6bdf-47ab-acdb-668aaa1f5d54,,DETERMINISTIC_SINGLE_SOURCE,,SFDA,ESCALATE
FZ-02455-294500-553250,62848eac-d12c-4967-a255-9eaac8d0844d,,DETERMINISTIC_SINGLE_SOURCE,,SFDA,ESCALATE
FZ-02456-293283-552736,07b53c2d-6dda-40a9-8ee6-d28554460637,,DETERMINISTIC_SINGLE_SOURCE,,SFDA,ESCALATE
FZ-02457-281937-294666,63211328-b47e-491d-a19f-bde2c18a17b6,3da2d150-17e0-439b-b9d7-8256e7cf5b89,REVIEW_REQUIRED,DETERMINISTIC_SINGLE_SOURCE,Suppliers,ESCALATE
FZ-02459-294666-492843,3da2d150-17e0-439b-b9d7-8256e7cf5b89,,DETERMINISTIC_SINGLE_SOURCE,,SFDA,ESCALATE
FZ-02460-224391-298542,a5d8f097-483a-492c-adb8-c9e8bb54518c,bf41cb39-ba94-4804-8124-9ec1d9635cf5,REVIEW_REQUIRED,DETERMINISTIC_SINGLE_SOURCE,Saudi Companies Directory,ESCALATE
FZ-02461-298601-554922,53d03551-a954-4409-ab96-b7af40abb05e,,DETERMINISTIC_SINGLE_SOURCE,,SFDA,ESCALATE
FZ-02462-290347-290348,9d41d491-71fe-411a-8480-d5a0e557d03f,95fd2fea-52cd-4f73-9d46-38490a030cc7,DETERMINISTIC_SINGLE_SOURCE,DETERMINISTIC_SINGLE_SOURCE,SFDA,HIGH_SEPARATE_CANDIDATE
FZ-02463-299671-299673,31185a51-2213-49b1-b93d-a96a82110477,31976114-bcbd-45f8-b1d7-2f242d15d05f,DETERMINISTIC_SINGLE_SOURCE,DETERMINISTIC_SINGLE_SOURCE,SFDA,HIGH_SEPARATE_CANDIDATE
FZ-02467-302002-556356,b1423212-7f9c-443d-ae53-2eebdfb67f56,,DETERMINISTIC_SINGLE_SOURCE,,SFDA,ESCALATE
FZ-02469-289209-550850,87ea6299-c489-4428-98fc-15e408c28311,,DETERMINISTIC_SINGLE_SOURCE,,SFDA,ESCALATE
FZ-02472-290729-551452,70f4525e-5ef8-4d90-a0a7-70c568e3eea2,,DETERMINISTIC_SINGLE_SOURCE,,SFDA,ESCALATE
FZ-02473-303251-303254,e16c0dd9-7931-4742-a4d6-94fd3ab85ee2,55ea3f67-bf91-4f2c-9862-9c9dcee9c3b5,DETERMINISTIC_SINGLE_SOURCE,DETERMINISTIC_SINGLE_SOURCE,SFDA,HIGH_SEPARATE_CANDIDATE
FZ-02474-303251-303255,e16c0dd9-7931-4742-a4d6-94fd3ab85ee2,748f4b8d-17ce-4037-b54e-3d5608b3663a,DETERMINISTIC_SINGLE_SOURCE,DETERMINISTIC_SINGLE_SOURCE,SFDA,HIGH_SEPARATE_CANDIDATE
FZ-02475-303254-303255,55ea3f67-bf91-4f2c-9862-9c9dcee9c3b5,748f4b8d-17ce-4037-b54e-3d5608b3663a,DETERMINISTIC_SINGLE_SOURCE,DETERMINISTIC_SINGLE_SOURCE,SFDA,HIGH_SEPARATE_CANDIDATE
FZ-02476-6480-292588,f4f83bc7-20a5-4c9d-8ba4-c49a4aeba7aa,52fc42e9-75a0-4dab-abdf-bdff39d350ec,REVIEW_REQUIRED,DETERMINISTIC_SINGLE_SOURCE,Saudi Companies Directory,ESCALATE
