pair_id,company_a_global_id,company_b_global_id,current_identity_state_a,current_identity_state_b,source_id,assisted_bucket
FZ-01451-126127-126785,3c59670f-977b-4a81-88fb-6aa39a43a12b,3e3fbbf4-7d25-4666-b7a6-7499a5a88b01,NO_VERIFIABLE_IDENTITY,NO_VERIFIABLE_IDENTITY,Saudi Companies Directory,UNSURE
FZ-01452-139441-193346,fa434335-a211-4775-aa09-660dd973debb,e106e6d7-3e08-4d3a-b41d-f8ee5278259e,NO_VERIFIABLE_IDENTITY,NO_VERIFIABLE_IDENTITY,Saudi Companies Directory,UNSURE
FZ-01453-32665-88049,3395d5b6-2259-4f61-ba9b-9ebd8d7bfdec,c6c6b11f-0d16-4069-91ca-c192efb4b183,NO_VERIFIABLE_IDENTITY,REVIEW_REQUIRED,Saudi Companies Directory,UNSURE
FZ-01454-32665-103683,3395d5b6-2259-4f61-ba9b-9ebd8d7bfdec,e7eb65ff-4233-4334-b6d3-0bcabd61a287,NO_VERIFIABLE_IDENTITY,REVIEW_REQUIRED,Saudi Companies Directory,UNSURE
FZ-01455-88049-103683,c6c6b11f-0d16-4069-91ca-c192efb4b183,e7eb65ff-4233-4334-b6d3-0bcabd61a287,REVIEW_REQUIRED,REVIEW_REQUIRED,Saudi Companies Directory,UNSURE
FZ-01456-73179-132568,5998d19f-9d90-402a-9878-d7aab42655c2,1feb4f36-8ba2-4e5e-a41b-897931a8d0d4,NO_VERIFIABLE_IDENTITY,NO_VERIFIABLE_IDENTITY,Saudi Companies Directory,UNSURE
FZ-01457-73179-465046,5998d19f-9d90-402a-9878-d7aab42655c2,,NO_VERIFIABLE_IDENTITY,,Saudi Companies Directory,UNSURE
FZ-01458-132568-465046,1feb4f36-8ba2-4e5e-a41b-897931a8d0d4,,NO_VERIFIABLE_IDENTITY,,Saudi Companies Directory,UNSURE
FZ-01459-129142-461803,a1b4ff69-9951-47d8-9e14-45de8ed8ce46,,REVIEW_REQUIRED,,Saudi Companies Directory,UNSURE
FZ-01460-118603-451911,73071607-a1f2-4ead-8c69-8fe4026fb6e9,,REVIEW_REQUIRED,,Saudi Companies Directory,UNSURE
